bar_id,drinker_id,start_date,mon_early_avg_sales,mon_late_avg_sales,tues_early_avg_sales,tues_late_avg_sales,wed_early_avg_sales,wed_late_avg_sales,thurs_early_avg_sales,thurs_late_avg_sales,fri_early_avg_sales,fri_late_avg_sales,sat_early_avg_sales,sat_late_avg_sales,sun_early_avg_sales,sun_late_avg_sales
7,3924,2013-3-25,\N,216,\N,\N,\N,\N,233,\N,\N,\N,263,\N,\N,303,
8,1199,2013-1-2,\N,\N,187,307,\N,\N,\N,\N,\N,224,\N,\N,\N,\N,
8,7220,2017-7-6,\N,209,\N,\N,446,\N,\N,239,\N,309,\N,\N,\N,259,
8,6442,2017-3-3,\N,\N,200,\N,\N,371,\N,\N,\N,198,\N,\N,\N,\N,
8,9048,2017-1-13,\N,\N,\N,\N,\N,\N,\N,\N,\N,304,348,287,395,228,
8,4587,2016-12-18,\N,\N,329,\N,361,178,172,266,\N,\N,\N,\N,\N,242,
8,6833,2017-8-28,\N,207,\N,\N,424,\N,198,\N,255,\N,254,\N,\N,\N,
8,5878,2015-1-17,\N,399,\N,\N,391,187,\N,\N,261,\N,\N,\N,431,321,
8,2914,2013-4-20,\N,\N,\N,\N,\N,\N,\N,212,\N,306,238,\N,\N,\N,
8,3731,2015-6-13,\N,\N,\N,\N,\N,\N,222,\N,193,295,220,308,\N,250,
8,7265,2015-6-7,\N,\N,\N,277,\N,139,\N,219,\N,\N,\N,\N,\N,335,
9,811,2014-9-13,\N,\N,407,304,\N,\N,\N,\N,\N,\N,266,\N,388,285,
9,5145,2015-8-22,\N,368,\N,\N,\N,\N,216,\N,173,\N,241,\N,\N,303,
9,8252,2015-12-9,\N,\N,303,\N,\N,\N,262,\N,\N,349,\N,\N,470,245,
9,6008,2016-3-20,\N,\N,416,312,\N,208,\N,\N,\N,231,\N,\N,375,193,
9,3769,2013-6-30,\N,\N,277,\N,\N,\N,197,\N,201,\N,\N,\N,\N,299,
9,8651,2017-1-15,\N,\N,\N,\N,\N,362,221,\N,\N,207,\N,\N,\N,\N,
9,4867,2012-12-15,\N,\N,220,\N,\N,\N,\N,\N,254,288,187,\N,\N,\N,
9,9341,2015-1-26,\N,\N,\N,\N,\N,470,196,224,\N,\N,\N,220,\N,232,
9,7224,2014-2-27,\N,210,\N,\N,\N,\N,219,\N,\N,\N,\N,\N,\N,\N,
9,2794,2016-3-15,\N,381,345,\N,193,\N,\N,\N,202,\N,\N,\N,359,253,
10,4407,2016-4-26,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,209,\N,\N,256,
10,9978,2017-10-10,\N,\N,\N,\N,\N,\N,\N,\N,\N,261,\N,\N,438,\N,
10,8469,2016-7-18,\N,\N,170,\N,\N,191,\N,\N,263,\N,\N,348,\N,\N,
10,2985,2016-11-10,\N,\N,391,\N,\N,\N,389,\N,182,\N,269,247,\N,270,
10,4841,2014-7-15,\N,\N,\N,\N,177,\N,\N,\N,\N,306,241,\N,\N,249,
10,7812,2017-6-8,\N,\N,\N,\N,\N,\N,\N,241,\N,\N,285,\N,\N,\N,
11,2251,2017-6-26,\N,\N,182,\N,\N,197,\N,\N,\N,\N,\N,\N,\N,\N,
11,6404,2016-4-17,\N,\N,381,\N,\N,\N,\N,\N,\N,\N,287,261,\N,250,
11,6104,2015-1-27,\N,\N,175,\N,\N,338,205,231,\N,\N,\N,\N,\N,270,
11,2250,2015-9-19,\N,234,\N,\N,257,\N,218,\N,\N,\N,291,\N,\N,237,
11,3198,2013-1-17,\N,392,289,\N,260,\N,202,\N,218,\N,\N,\N,\N,\N,
11,9526,2017-9-3,\N,\N,\N,\N,\N,\N,\N,182,254,\N,\N,231,\N,307,
11,3896,2016-5-14,\N,\N,441,\N,\N,372,\N,\N,\N,214,\N,253,383,284,
11,2477,2015-1-9,\N,\N,\N,\N,\N,158,\N,186,\N,226,\N,\N,\N,238,
11,8741,2014-2-24,\N,\N,214,328,\N,195,\N,\N,266,\N,\N,313,\N,252,
11,1305,2015-8-16,\N,\N,383,\N,178,\N,\N,\N,\N,223,\N,\N,\N,271,
11,466,2017-5-2,\N,\N,148,\N,\N,\N,\N,\N,\N,\N,\N,\N,377,\N,
12,1348,2012-12-15,\N,351,\N,151,184,\N,\N,240,\N,\N,\N,\N,436,293,
12,937,2015-10-15,\N,\N,274,\N,\N,\N,192,201,\N,\N,\N,\N,390,296,
12,7733,2013-8-19,\N,381,312,177,\N,\N,\N,\N,284,\N,\N,\N,313,274,
12,7729,2014-2-19,\N,\N,410,\N,217,179,\N,\N,\N,\N,\N,\N,\N,284,
12,5591,2016-9-18,\N,\N,\N,\N,\N,\N,386,243,\N,192,\N,\N,\N,\N,
12,408,2015-8-1,\N,\N,\N,308,\N,314,195,\N,277,\N,\N,362,\N,315,
12,1477,2016-12-8,\N,\N,418,331,\N,482,\N,\N,\N,\N,\N,272,\N,246,
12,3795,2016-12-22,\N,\N,303,\N,391,\N,192,315,\N,\N,\N,\N,375,265,
13,918,2015-8-24,\N,\N,292,\N,\N,\N,199,\N,\N,\N,220,\N,397,236,
13,5629,2016-3-15,\N,\N,\N,\N,164,\N,286,\N,\N,276,\N,\N,443,272,
13,5343,2017-4-14,\N,\N,\N,\N,\N,216,\N,248,\N,\N,\N,\N,\N,\N,
13,842,2016-2-6,\N,\N,\N,\N,186,\N,187,260,\N,353,\N,\N,\N,\N,
13,1941,2017-2-6,\N,\N,\N,\N,\N,\N,195,\N,\N,306,283,\N,390,318,
13,7374,2017-9-1,\N,236,272,\N,\N,\N,\N,\N,190,\N,\N,\N,\N,270,
13,496,2017-8-6,\N,\N,417,\N,\N,\N,409,\N,270,\N,\N,\N,\N,267,
13,2588,2017-2-15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,253,360,\N,
13,9982,2013-11-8,\N,\N,\N,\N,\N,\N,\N,\N,190,\N,244,\N,\N,\N,
13,3205,2014-4-26,\N,\N,\N,280,\N,\N,463,\N,241,\N,\N,\N,\N,\N,
13,6278,2017-3-22,\N,\N,\N,\N,\N,431,\N,\N,\N,\N,267,\N,\N,\N,
13,1739,2013-3-31,\N,213,272,\N,\N,\N,170,\N,214,\N,321,\N,\N,233,
14,2875,2014-2-23,\N,\N,\N,\N,\N,181,\N,\N,\N,284,224,234,\N,302,
14,1629,2016-6-5,\N,\N,189,\N,359,\N,\N,216,\N,213,\N,\N,\N,238,
14,8791,2015-9-7,\N,\N,\N,\N,\N,\N,\N,252,\N,\N,\N,375,\N,\N,
14,4543,2013-1-21,\N,168,\N,\N,\N,\N,\N,\N,184,295,295,283,\N,279,
14,4277,2015-4-10,\N,\N,212,\N,\N,\N,\N,\N,\N,\N,\N,\N,398,222,
14,51,2016-2-12,\N,\N,\N,\N,\N,\N,\N,191,\N,255,\N,\N,\N,\N,
14,6039,2014-6-10,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,262,450,266,
14,1337,2015-6-19,\N,240,\N,374,209,\N,\N,\N,\N,\N,276,\N,\N,234,
14,8609,2016-5-29,259,\N,\N,327,\N,\N,\N,207,\N,353,279,\N,\N,176,
14,2793,2014-2-28,\N,\N,184,\N,339,179,\N,\N,\N,\N,\N,\N,\N,240,
14,6495,2014-12-7,\N,\N,263,\N,219,\N,160,\N,\N,\N,278,\N,301,297,
14,2837,2014-2-6,\N,\N,376,\N,\N,381,\N,187,252,\N,\N,\N,303,305,
15,6857,2014-6-20,\N,\N,313,\N,416,\N,189,\N,199,\N,\N,\N,432,\N,
15,3476,2015-1-26,\N,\N,\N,\N,\N,\N,\N,\N,\N,214,\N,255,\N,317,
15,188,2015-8-2,\N,\N,418,\N,\N,\N,\N,\N,258,\N,327,267,\N,276,
15,7393,2013-10-22,\N,\N,166,\N,\N,\N,\N,\N,\N,\N,306,316,379,265,
15,6874,2015-9-26,342,\N,\N,\N,226,\N,\N,\N,\N,\N,294,\N,\N,235,
15,8416,2014-4-17,\N,\N,\N,\N,\N,\N,\N,\N,286,\N,\N,273,\N,\N,
15,8064,2015-2-27,\N,391,\N,151,\N,\N,\N,\N,299,\N,207,247,\N,242,
15,1911,2015-9-14,\N,\N,423,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,281,
15,112,2017-11-1,\N,\N,190,\N,\N,\N,\N,\N,\N,\N,268,\N,\N,277,
15,4836,2016-8-21,243,\N,\N,\N,\N,\N,\N,245,\N,\N,267,\N,396,232,
15,5501,2013-5-22,\N,\N,212,\N,\N,210,430,\N,\N,199,\N,\N,403,272,
16,6736,2016-3-13,\N,\N,445,\N,\N,\N,446,\N,\N,288,\N,\N,\N,\N,
16,7101,2017-7-10,\N,\N,\N,306,\N,417,\N,149,237,279,\N,\N,\N,211,
16,6482,2017-10-18,\N,\N,\N,\N,\N,\N,\N,\N,\N,302,285,\N,\N,\N,
16,4353,2014-12-1,\N,199,\N,326,\N,\N,\N,224,\N,306,278,\N,\N,252,
16,1737,2012-11-8,\N,\N,\N,\N,\N,\N,\N,221,\N,266,\N,165,\N,\N,
16,9036,2016-4-19,\N,\N,448,\N,\N,\N,\N,\N,\N,251,302,\N,\N,\N,
17,9102,2016-6-4,\N,\N,213,\N,\N,\N,378,\N,\N,\N,\N,\N,\N,\N,
17,959,2014-12-14,\N,\N,\N,\N,\N,\N,178,\N,\N,\N,347,\N,\N,\N,
17,8645,2016-1-26,\N,\N,\N,\N,\N,\N,172,\N,\N,\N,\N,\N,\N,239,
17,9663,2013-5-24,\N,\N,\N,\N,351,239,\N,\N,166,296,288,\N,\N,263,
17,2160,2014-3-21,\N,\N,\N,\N,\N,175,389,\N,266,172,\N,\N,\N,\N,
17,5308,2016-7-29,\N,\N,\N,\N,\N,\N,148,\N,\N,\N,\N,\N,\N,245,
17,4115,2016-4-20,\N,\N,202,\N,\N,186,\N,195,315,233,\N,\N,\N,204,
17,7568,2014-6-13,\N,\N,\N,338,\N,\N,\N,\N,\N,268,\N,\N,\N,\N,
17,9960,2015-6-5,\N,\N,424,\N,\N,225,\N,\N,\N,292,243,\N,428,\N,
17,5454,2013-6-16,\N,\N,\N,280,\N,\N,\N,155,267,270,\N,\N,406,\N,
17,8113,2016-5-22,\N,177,281,\N,\N,\N,205,\N,194,\N,\N,\N,360,\N,
17,4325,2013-4-27,\N,\N,\N,\N,\N,205,\N,\N,257,\N,\N,\N,\N,\N,
18,3015,2015-11-17,\N,213,\N,\N,\N,401,\N,\N,\N,\N,\N,\N,\N,266,
18,7695,2017-9-26,\N,215,\N,\N,380,167,\N,\N,274,\N,264,\N,\N,255,
18,3488,2016-6-28,\N,\N,\N,\N,\N,\N,\N,\N,\N,263,273,286,\N,\N,
18,7753,2014-8-15,\N,\N,360,299,\N,\N,\N,\N,\N,282,\N,\N,388,200,
18,8322,2013-2-12,\N,\N,\N,\N,\N,231,\N,\N,\N,\N,\N,\N,387,\N,
18,9307,2013-2-7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,271,\N,313,
18,4405,2016-5-27,\N,\N,364,\N,\N,420,\N,\N,\N,\N,\N,\N,\N,214,
18,1086,2016-5-13,\N,380,\N,\N,325,\N,\N,\N,\N,\N,290,\N,432,262,
18,8731,2017-8-25,\N,\N,\N,293,\N,\N,\N,\N,\N,267,\N,\N,\N,\N,
18,1254,2013-4-9,\N,\N,453,\N,\N,425,\N,197,228,288,\N,\N,\N,265,
18,595,2013-11-2,\N,\N,\N,\N,\N,204,\N,\N,\N,\N,\N,215,\N,\N,
19,6927,2014-8-9,\N,\N,205,\N,\N,\N,\N,\N,270,291,304,\N,428,220,
19,3862,2015-11-6,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,215,\N,288,
19,481,2013-6-29,\N,\N,\N,\N,\N,\N,326,\N,221,\N,\N,\N,\N,\N,
19,2038,2016-2-29,\N,\N,389,278,\N,419,\N,\N,\N,315,\N,\N,\N,196,
19,9292,2016-3-17,\N,\N,\N,279,\N,\N,378,\N,\N,\N,\N,\N,\N,312,
19,7910,2016-9-14,\N,\N,\N,\N,\N,377,\N,\N,\N,\N,278,\N,\N,\N,
19,2700,2013-9-7,\N,\N,\N,\N,\N,406,174,296,\N,\N,\N,\N,\N,257,
19,6737,2014-8-21,\N,415,\N,\N,405,\N,\N,275,165,\N,328,\N,\N,285,
19,658,2015-11-25,\N,185,326,\N,\N,\N,\N,\N,\N,\N,\N,\N,351,255,
20,9906,2015-9-17,\N,\N,\N,\N,\N,\N,164,\N,308,\N,263,\N,\N,209,
20,8262,2014-11-29,\N,437,\N,333,\N,\N,\N,184,\N,258,\N,257,\N,232,
20,1787,2013-2-28,\N,174,\N,\N,266,\N,205,238,163,\N,\N,\N,\N,284,
20,6107,2013-4-28,\N,\N,271,\N,\N,\N,224,\N,269,\N,272,\N,\N,181,
20,6876,2016-6-20,\N,405,\N,\N,\N,410,\N,\N,203,\N,\N,\N,\N,239,
20,7644,2013-1-25,\N,\N,\N,311,\N,\N,\N,\N,\N,204,\N,\N,\N,\N,
20,7615,2015-2-8,\N,404,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,292,
20,5925,2016-11-5,\N,\N,\N,\N,\N,\N,\N,230,\N,274,267,\N,\N,\N,
20,6638,2016-10-23,\N,\N,301,\N,\N,\N,268,\N,\N,\N,275,\N,\N,200,
20,9332,2014-5-23,\N,\N,\N,\N,439,\N,190,\N,\N,\N,\N,\N,361,224,
20,414,2015-8-8,\N,\N,\N,\N,\N,\N,403,\N,267,\N,\N,306,\N,287,
20,1174,2015-3-29,\N,\N,157,\N,\N,\N,\N,\N,226,\N,\N,210,\N,\N,
21,6228,2014-12-8,\N,211,\N,\N,\N,\N,215,290,204,\N,\N,\N,\N,379,
21,1493,2013-12-25,291,\N,\N,\N,363,\N,\N,315,249,\N,252,\N,\N,266,
21,6619,2015-9-22,\N,\N,189,\N,412,\N,\N,\N,\N,\N,\N,\N,423,262,
21,9800,2014-10-19,\N,\N,\N,\N,331,\N,\N,\N,226,\N,\N,\N,\N,\N,
21,6158,2013-1-18,\N,\N,\N,\N,\N,\N,\N,\N,\N,185,\N,234,441,239,
21,9796,2014-7-18,231,\N,\N,\N,\N,214,\N,\N,\N,161,\N,299,\N,\N,
21,9797,2013-5-6,\N,\N,\N,\N,\N,\N,363,265,\N,193,\N,\N,\N,\N,
21,507,2016-11-15,\N,\N,428,\N,\N,392,202,277,\N,\N,\N,\N,\N,299,
21,9665,2013-8-8,\N,\N,\N,\N,\N,216,\N,187,258,273,217,\N,\N,295,
21,2811,2017-8-29,\N,\N,\N,\N,\N,\N,334,221,\N,\N,\N,\N,\N,271,
21,2340,2016-7-27,\N,\N,224,305,\N,208,\N,\N,\N,\N,\N,\N,\N,269,
21,3809,2017-6-7,\N,\N,310,\N,\N,\N,\N,\N,\N,\N,\N,\N,372,295,
21,6601,2017-10-31,\N,216,\N,\N,174,\N,\N,\N,219,\N,319,\N,\N,268,
21,6176,2016-8-3,285,\N,\N,\N,\N,403,\N,202,287,179,\N,\N,\N,274,
21,9811,2015-2-22,\N,\N,\N,\N,\N,192,\N,315,\N,\N,\N,\N,\N,264,
22,3298,2015-8-2,\N,\N,214,\N,\N,\N,\N,214,218,\N,\N,\N,\N,\N,
22,3780,2014-3-6,\N,\N,\N,\N,393,\N,295,\N,\N,\N,364,\N,\N,230,
22,6143,2016-1-29,\N,\N,208,\N,\N,\N,\N,\N,\N,\N,\N,204,\N,\N,
22,9086,2017-2-19,\N,\N,\N,264,\N,195,\N,283,\N,\N,\N,291,\N,264,
22,5822,2016-10-6,\N,\N,\N,365,\N,217,\N,\N,267,273,256,\N,\N,241,
22,8190,2014-1-13,\N,\N,206,\N,\N,187,\N,\N,\N,\N,323,\N,\N,266,
22,2934,2014-5-2,\N,\N,\N,\N,\N,\N,\N,\N,255,284,331,\N,\N,\N,
22,6041,2014-8-31,\N,\N,208,\N,\N,\N,\N,\N,\N,\N,333,237,\N,292,
22,8533,2017-3-15,\N,\N,\N,\N,\N,\N,\N,217,\N,192,\N,301,\N,\N,
22,1346,2017-4-1,\N,\N,\N,\N,178,\N,207,\N,241,\N,\N,\N,\N,267,
23,9519,2014-7-3,\N,373,\N,\N,\N,\N,\N,\N,\N,\N,268,\N,\N,335,
23,3775,2016-7-22,\N,\N,\N,\N,\N,195,\N,\N,\N,319,208,\N,\N,231,
23,6067,2016-7-24,\N,\N,408,\N,\N,\N,\N,\N,298,217,278,268,\N,320,
23,3891,2013-12-14,\N,\N,309,\N,\N,\N,\N,\N,\N,\N,286,\N,\N,\N,
23,4499,2016-11-9,\N,\N,\N,\N,\N,382,\N,\N,271,306,195,\N,405,308,
23,2123,2015-4-18,\N,\N,\N,\N,\N,\N,\N,\N,\N,189,\N,\N,443,\N,
23,4363,2015-8-6,\N,\N,\N,\N,\N,\N,\N,\N,266,\N,\N,\N,347,\N,
23,6978,2016-8-9,\N,\N,\N,\N,177,\N,193,231,288,\N,\N,\N,\N,278,
24,4509,2017-6-28,\N,403,\N,204,\N,\N,206,\N,\N,\N,326,\N,\N,247,
24,1566,2014-3-8,\N,\N,\N,\N,\N,188,418,218,\N,182,\N,\N,328,252,
24,1061,2014-4-23,\N,\N,\N,\N,\N,339,\N,208,293,240,316,\N,\N,258,
24,7116,2014-9-1,\N,\N,385,\N,\N,\N,\N,\N,\N,\N,\N,\N,396,284,
24,5456,2013-12-26,\N,210,322,\N,433,\N,195,\N,\N,\N,\N,\N,360,271,
25,9916,2015-4-12,\N,190,\N,\N,\N,\N,201,\N,\N,\N,\N,\N,\N,\N,
25,4272,2016-11-2,\N,\N,194,\N,\N,434,\N,\N,\N,241,312,279,\N,\N,
25,8010,2015-3-22,\N,\N,\N,\N,\N,\N,\N,200,\N,\N,\N,289,\N,\N,
25,423,2014-9-8,\N,\N,\N,\N,\N,199,\N,204,267,273,277,\N,\N,241,
25,9337,2017-3-29,\N,284,381,\N,\N,\N,\N,246,\N,291,259,\N,\N,187,
25,7774,2017-2-7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,310,\N,252,
25,6541,2015-11-15,\N,213,\N,\N,444,201,\N,\N,263,\N,313,\N,\N,237,
25,9255,2014-5-18,\N,\N,\N,\N,\N,\N,\N,166,\N,297,220,289,\N,251,
25,7542,2016-7-12,\N,\N,196,\N,\N,\N,\N,\N,\N,\N,\N,\N,390,293,
25,9190,2016-1-13,\N,\N,\N,\N,\N,216,\N,\N,\N,166,\N,280,405,\N,
25,2828,2016-10-4,\N,414,\N,\N,\N,\N,\N,183,\N,219,\N,220,426,259,
25,4674,2015-1-31,\N,\N,\N,245,\N,\N,\N,\N,\N,188,298,\N,\N,292,
25,6225,2015-3-26,230,\N,417,\N,\N,\N,\N,171,246,312,\N,\N,\N,232,
26,6096,2016-7-28,\N,449,334,\N,446,\N,\N,\N,178,\N,246,\N,\N,288,
26,3742,2015-1-7,\N,\N,219,\N,\N,388,218,\N,232,279,\N,\N,399,\N,
26,886,2016-4-23,\N,\N,\N,\N,323,215,\N,\N,\N,\N,\N,\N,\N,\N,
26,9744,2017-11-3,\N,\N,\N,320,\N,\N,\N,\N,\N,\N,\N,309,\N,\N,
26,4535,2013-7-8,\N,\N,\N,\N,\N,\N,\N,213,\N,281,\N,\N,401,210,
26,2382,2016-1-24,\N,\N,406,\N,\N,222,362,\N,296,324,\N,\N,\N,238,
26,7979,2013-9-7,\N,\N,\N,\N,\N,221,423,\N,\N,\N,\N,314,\N,\N,
26,8886,2017-9-18,\N,\N,\N,\N,\N,\N,\N,\N,229,\N,\N,247,\N,271,
26,1973,2017-9-3,\N,\N,303,\N,\N,386,\N,209,199,\N,\N,\N,\N,265,
26,76,2016-1-29,\N,\N,186,\N,\N,\N,\N,206,\N,265,305,\N,\N,172,
26,6701,2013-8-28,\N,\N,328,\N,401,\N,\N,\N,223,\N,238,\N,\N,\N,
26,1210,2015-11-7,\N,\N,\N,298,\N,\N,402,\N,\N,\N,\N,\N,\N,305,
27,1447,2017-4-12,\N,206,310,\N,\N,\N,\N,205,282,\N,\N,\N,355,260,
27,7658,2013-12-2,\N,\N,208,\N,\N,\N,\N,206,\N,259,\N,199,\N,218,
27,61,2016-7-5,\N,\N,\N,\N,371,\N,\N,284,252,\N,317,\N,340,166,
27,8511,2014-4-22,\N,\N,383,258,\N,365,\N,\N,\N,239,\N,\N,438,236,
27,1059,2014-9-8,\N,\N,293,\N,\N,\N,192,248,\N,\N,\N,\N,\N,\N,
27,425,2013-1-18,\N,\N,\N,\N,203,416,168,\N,\N,\N,\N,\N,\N,\N,
28,2903,2013-10-3,\N,\N,344,\N,\N,\N,\N,\N,\N,\N,293,\N,\N,264,
28,3229,2016-7-8,\N,\N,\N,273,\N,\N,\N,\N,232,\N,\N,\N,\N,\N,
28,9369,2015-8-12,\N,\N,198,\N,\N,\N,\N,\N,276,\N,\N,195,\N,280,
28,3169,2014-7-19,\N,\N,414,303,\N,489,182,\N,219,\N,\N,\N,\N,212,
28,1734,2015-3-25,\N,194,319,\N,\N,\N,192,261,206,\N,\N,\N,\N,\N,
28,3700,2014-6-14,\N,\N,\N,\N,250,446,\N,\N,184,\N,229,\N,351,271,
28,2347,2015-3-1,\N,192,327,\N,409,\N,\N,277,\N,\N,281,\N,\N,254,
28,4736,2015-12-14,\N,\N,198,354,\N,\N,\N,\N,\N,213,\N,\N,373,241,
28,1842,2014-6-6,\N,\N,\N,\N,\N,364,236,213,\N,231,\N,\N,\N,252,
28,8215,2016-1-3,\N,\N,196,261,\N,\N,\N,\N,\N,\N,\N,\N,\N,297,
